CPU_char(distanceTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
1M|0.016000|0.017000|0.017000|0.016000|0.016000|0.016400|0.000000|0.000490
2M|0.033000|0.033000|0.033000|0.033000|0.033000|0.033000|0.000000|0.000000
4M|0.066000|0.066000|0.067000|0.066000|0.067000|0.066400|0.000000|0.000490
8M|0.133000|0.135000|0.137000|0.133000|0.133000|0.134200|0.000003|0.001600
16M|0.274000|0.272000|0.272000|0.267000|0.272000|0.271400|0.000005|0.002332
32M|0.546000|0.547000|0.547000|0.533000|0.537000|0.542000|0.000034|0.005865
64M|1.082000|1.096000|1.093000|1.089000|1.085000|1.089000|0.000026|0.005099
128M|2.173000|2.181000|2.163000|2.168000|2.178000|2.172600|0.000043|0.006530


CPU_char_thread(distanceTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.008000|0.008000|0.007000|0.007000|0.007000|0.007400|0.000000|0.000490
1M|0.011000|0.010000|0.010000|0.010000|0.009000|0.010000|0.000000|0.000632
2M|0.013000|0.010000|0.011000|0.010000|0.011000|0.011000|0.000001|0.001095
4M|0.016000|0.015000|0.016000|0.015000|0.014000|0.015200|0.000001|0.000748
8M|0.021000|0.023000|0.023000|0.021000|0.021000|0.021800|0.000001|0.000980
16M|0.031000|0.028000|0.026000|0.030000|0.031000|0.029200|0.000004|0.001939
32M|0.054000|0.049000|0.044000|0.042000|0.047000|0.047200|0.000017|0.004167
64M|0.066000|0.065000|0.075000|0.069000|0.067000|0.068400|0.000013|0.003555
128M|0.138000|0.125000|0.147000|0.123000|0.121000|0.130800|0.000101|0.010048


CPU_char(totalTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.001000|0.000000|0.000000|0.001000|0.000400|0.000000|0.000490
1M|0.017000|0.018000|0.018000|0.017000|0.017000|0.017400|0.000000|0.000490
2M|0.035000|0.035000|0.035000|0.036000|0.035000|0.035200|0.000000|0.000400
4M|0.071000|0.071000|0.072000|0.070000|0.072000|0.071200|0.000001|0.000748
8M|0.142000|0.145000|0.146000|0.143000|0.143000|0.143800|0.000002|0.001470
16M|0.293000|0.290000|0.291000|0.285000|0.291000|0.290000|0.000007|0.002683
32M|0.586000|0.585000|0.585000|0.570000|0.575000|0.580200|0.000042|0.006493
64M|1.158000|1.174000|1.170000|1.165000|1.163000|1.166000|0.000031|0.005550
128M|2.339000|2.334000|2.318000|2.323000|2.331000|2.329000|0.000057|0.007563


CPU_char_thread(totalTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.008000|0.008000|0.007000|0.007000|0.007000|0.007400|0.000000|0.000490
1M|0.012000|0.011000|0.012000|0.011000|0.010000|0.011200|0.000001|0.000748
2M|0.015000|0.012000|0.014000|0.012000|0.014000|0.013400|0.000001|0.001200
4M|0.021000|0.020000|0.020000|0.019000|0.019000|0.019800|0.000001|0.000748
8M|0.031000|0.034000|0.033000|0.031000|0.030000|0.031800|0.000002|0.001470
16M|0.051000|0.047000|0.045000|0.049000|0.051000|0.048600|0.000005|0.002332
32M|0.092000|0.088000|0.083000|0.080000|0.085000|0.085600|0.000017|0.004128
64M|0.144000|0.143000|0.153000|0.146000|0.145000|0.146200|0.000013|0.003544
128M|0.294000|0.282000|0.299000|0.278000|0.276000|0.285800|0.000083|0.009086


GPU_bits(h2dTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.000000|0.001000|0.000000|0.000000|0.000200|0.000000|0.000400
1M|0.000000|0.000000|0.001000|0.001000|0.000000|0.000400|0.000000|0.000490
2M|0.000000|0.001000|0.001000|0.000000|0.001000|0.000600|0.000000|0.000490
4M|0.000000|0.001000|0.000000|0.001000|0.001000|0.000600|0.000000|0.000490
8M|0.002000|0.001000|0.001000|0.002000|0.001000|0.001400|0.000000|0.000490
16M|0.002000|0.003000|0.003000|0.002000|0.003000|0.002600|0.000000|0.000490
32M|0.004000|0.005000|0.006000|0.005000|0.005000|0.005000|0.000000|0.000632
64M|0.008000|0.029000|0.029000|0.031000|0.029000|0.025200|0.000075|0.008635
128M|0.017000|0.057000|0.058000|0.059000|0.058000|0.049800|0.000269|0.016412


GPU_char_global(h2dTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
1M|0.000000|0.000000|0.001000|0.000000|0.000000|0.000200|0.000000|0.000400
2M|0.001000|0.000000|0.000000|0.000000|0.000000|0.000200|0.000000|0.000400
4M|0.000000|0.001000|0.000000|0.000000|0.001000|0.000400|0.000000|0.000490
8M|0.002000|0.001000|0.002000|0.001000|0.001000|0.001400|0.000000|0.000490
16M|0.002000|0.002000|0.003000|0.003000|0.002000|0.002400|0.000000|0.000490
32M|0.004000|0.005000|0.005000|0.006000|0.005000|0.005000|0.000000|0.000632
64M|0.009000|0.029000|0.029000|0.029000|0.028000|0.024800|0.000063|0.007909
128M|0.057000|0.059000|0.058000|0.017000|0.017000|0.041600|0.000404|0.020096


GPU_char_shared(h2dTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.001000|0.000000|0.000000|0.000000|0.000200|0.000000|0.000400
1M|0.000000|0.000000|0.000000|0.001000|0.001000|0.000400|0.000000|0.000490
2M|0.001000|0.000000|0.000000|0.001000|0.001000|0.000600|0.000000|0.000490
4M|0.000000|0.001000|0.001000|0.001000|0.001000|0.000800|0.000000|0.000400
8M|0.001000|0.002000|0.001000|0.002000|0.002000|0.001600|0.000000|0.000490
16M|0.002000|0.002000|0.003000|0.002000|0.002000|0.002200|0.000000|0.000400
32M|0.005000|0.005000|0.005000|0.005000|0.005000|0.005000|0.000000|0.000000
64M|0.009000|0.030000|0.030000|0.029000|0.028000|0.025200|0.000066|0.008134
128M|0.021000|0.019000|0.016000|0.017000|0.017000|0.018000|0.000003|0.001789


GPU_bits(popcounTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
1M|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
2M|0.000000|0.000000|0.000000|0.001000|0.000000|0.000200|0.000000|0.000400
4M|0.001000|0.001000|0.001000|0.000000|0.000000|0.000600|0.000000|0.000490
8M|0.000000|0.001000|0.001000|0.000000|0.000000|0.000400|0.000000|0.000490
16M|0.001000|0.002000|0.001000|0.001000|0.000000|0.001000|0.000000|0.000632
32M|0.001000|0.005000|0.004000|0.004000|0.004000|0.003600|0.000002|0.001356
64M|0.003000|0.024000|0.021000|0.021000|0.019000|0.017600|0.000056|0.007473
128M|0.006000|0.073000|0.074000|0.072000|0.076000|0.060200|0.000736|0.027132


GPU_char_global(popcounTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
1M|0.001000|0.001000|0.000000|0.000000|0.000000|0.000400|0.000000|0.000490
2M|0.000000|0.001000|0.001000|0.001000|0.001000|0.000800|0.000000|0.000400
4M|0.001000|0.001000|0.001000|0.001000|0.000000|0.000800|0.000000|0.000400
8M|0.001000|0.003000|0.001000|0.001000|0.002000|0.001600|0.000001|0.000800
16M|0.002000|0.006000|0.002000|0.002000|0.002000|0.002800|0.000003|0.001600
32M|0.005000|0.016000|0.016000|0.013000|0.013000|0.012600|0.000016|0.004030
64M|0.010000|0.064000|0.063000|0.064000|0.058000|0.051800|0.000442|0.021018
128M|0.039000|0.160000|0.138000|0.017000|0.017000|0.074200|0.003843|0.061992


GPU_char_shared(popcounTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
1M|0.001000|0.001000|0.001000|0.000000|0.000000|0.000600|0.000000|0.000490
2M|0.001000|0.001000|0.001000|0.000000|0.000000|0.000600|0.000000|0.000490
4M|0.001000|0.001000|0.001000|0.000000|0.001000|0.000800|0.000000|0.000400
8M|0.001000|0.002000|0.002000|0.001000|0.001000|0.001400|0.000000|0.000490
16M|0.003000|0.007000|0.002000|0.003000|0.003000|0.003600|0.000003|0.001744
32M|0.005000|0.020000|0.018000|0.016000|0.016000|0.015000|0.000027|0.005215
64M|0.010000|0.065000|0.050000|0.061000|0.058000|0.048800|0.000401|0.020014
128M|0.035000|0.020000|0.021000|0.020000|0.021000|0.023400|0.000034|0.005817


GPU_bits(d2hTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
1M|0.001000|0.000000|0.000000|0.000000|0.000000|0.000200|0.000000|0.000400
2M|0.001000|0.000000|0.001000|0.000000|0.000000|0.000400|0.000000|0.000490
4M|0.000000|0.001000|0.000000|0.001000|0.001000|0.000600|0.000000|0.000490
8M|0.001000|0.001000|0.001000|0.001000|0.001000|0.001000|0.000000|0.000000
16M|0.001000|0.002000|0.001000|0.002000|0.001000|0.001400|0.000000|0.000490
32M|0.002000|0.003000|0.003000|0.003000|0.002000|0.002600|0.000000|0.000490
64M|0.005000|0.021000|0.022000|0.022000|0.023000|0.018600|0.000047|0.006829
128M|0.012000|0.042000|0.043000|0.043000|0.042000|0.036400|0.000149|0.012208


GPU_char_global(d2hTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
1M|0.000000|0.000000|0.000000|0.001000|0.000000|0.000200|0.000000|0.000400
2M|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
4M|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
8M|0.001000|0.000000|0.001000|0.001000|0.001000|0.000800|0.000000|0.000400
16M|0.002000|0.002000|0.002000|0.002000|0.002000|0.002000|0.000000|0.000000
32M|0.003000|0.003000|0.003000|0.003000|0.003000|0.003000|0.000000|0.000000
64M|0.006000|0.021000|0.022000|0.022000|0.022000|0.018600|0.000040|0.006312
128M|0.012000|0.044000|0.010000|0.010000|0.011000|0.017400|0.000177|0.013321


GPU_char_shared(d2hTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
1M|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
2M|0.000000|0.000000|0.000000|0.000000|0.001000|0.000200|0.000000|0.000400
4M|0.001000|0.001000|0.000000|0.000000|0.000000|0.000400|0.000000|0.000490
8M|0.001000|0.001000|0.001000|0.001000|0.001000|0.001000|0.000000|0.000000
16M|0.001000|0.002000|0.002000|0.002000|0.001000|0.001600|0.000000|0.000490
32M|0.004000|0.002000|0.003000|0.003000|0.003000|0.003000|0.000000|0.000632
64M|0.006000|0.022000|0.022000|0.022000|0.022000|0.018800|0.000041|0.006400
128M|0.012000|0.013000|0.010000|0.011000|0.011000|0.011400|0.000001|0.001020


