CPU_char(distanceTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
128M,0.012,0.042,0.043,0.043,0.042,0.0364,0.000149,0.012208
,,,,,,,,
,,,,,,,,
GPU_char_global(d2hTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0,0,0,0,0,0,0
1M,0,0,0,0.001,0,0.0002,0,0.0004
2M,0,0,0,0,0,0,0,0
4M,0,0,0,0,0,0,0,0
8M,0.001,0,0.001,0.001,0.001,0.0008,0,0.0004
16M,0.002,0.002,0.002,0.002,0.002,0.002,0,0
32M,0.003,0.003,0.003,0.003,0.003,0.003,0,0
64M,0.006,0.021,0.022,0.022,0.022,0.0186,0.00004,0.006312
128M,0.012,0.044,0.01,0.01,0.011,0.0174,0.000177,0.013321
,,,,,,,,
,,,,,,,,
GPU_char_shared(d2hTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0,0,0,0,0,0,0
1M,0,0,0,0,0,0,0,0
2M,0,0,0,0,0.001,0.0002,0,0.0004
4M,0.001,0.001,0,0,0,0.0004,0,0.00049
8M,0.001,0.001,0.001,0.001,0.001,0.001,0,0
16M,0.001,0.002,0.002,0.002,0.001,0.0016,0,0.00049
32M,0.004,0.002,0.003,0.003,0.003,0.003,0,0.000632
64M,0.006,0.022,0.022,0.022,0.022,0.0188,0.000041,0.0064
128M,0.012,0.013,0.01,0.011,0.011,0.0114,0.000001,0.00102
,,,,,,,,
,,,,,,,,
GPU_bits(totalTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0,0.001,0,0,0.0002,0,0.0004
1M,0.001,0,0.001,0.002,0,0.0008,0.000001,0.000748
2M,0.002,0.002,0.003,0.002,0.002,0.0022,0,0.0004
4M,0.003,0.005,0.003,0.003,0.003,0.0034,0.000001,0.0008
8M,0.006,0.006,0.006,0.006,0.005,0.0058,0,0.0004
16M,0.01,0.012,0.011,0.01,0.01,0.0106,0.000001,0.0008
32M,0.02,0.024,0.024,0.024,0.022,0.0228,0.000003,0.0016
64M,0.04,0.097,0.096,0.096,0.093,0.0844,0.000495,0.022241
128M,0.082,0.218,0.225,0.22,0.221,0.1932,0.003097,0.055647
,,,,,,,,
,,,,,,,,
GPU_char_global(totalTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0.001,0.001,0,0,0,0.0004,0,0.00049
1M,0.001,0.002,0.001,0.002,0,0.0012,0.000001,0.000748
2M,0.002,0.001,0.002,0.002,0.002,0.0018,0,0.0004
4M,0.002,0.004,0.002,0.002,0.002,0.0024,0.000001,0.0008
8M,0.007,0.006,0.007,0.005,0.007,0.0064,0.000001,0.0008
16M,0.012,0.015,0.013,0.013,0.011,0.0128,0.000002,0.001327
32M,0.024,0.035,0.036,0.034,0.032,0.0322,0.000019,0.004308
64M,0.049,0.137,0.137,0.137,0.131,0.1182,0.001203,0.034678
128M,0.155,0.309,0.252,0.088,0.09,0.1788,0.007801,0.088325
,,,,,,,,
,,,,,,,,
GPU_char_shared(totalTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0.001,0,0,0,0.0002,0,0.0004
1M,0.002,0.001,0.001,0.001,0.001,0.0012,0,0.0004
2M,0.003,0.002,0.001,0.002,0.003,0.0022,0.000001,0.000748
4M,0.003,0.004,0.003,0.002,0.003,0.003,0,0.000632
8M,0.005,0.008,0.007,0.007,0.007,0.0068,0.000001,0.00098
16M,0.012,0.017,0.013,0.012,0.012,0.0132,0.000004,0.001939
32M,0.025,0.039,0.037,0.036,0.036,0.0346,0.000024,0.004923
64M,0.049,0.139,0.125,0.135,0.131,0.1158,0.001137,0.033719
128M,0.115,0.097,0.092,0.093,0.095,0.0984,0.000072,0.008476
,,,,,,,,
,,,,,,,,
calculateAverage(ms),CPU_char,CPU_char_thread,GPU_bits,GPU_char_global,GPU_char_shared,,,
1K,0.000000,0.007400,0.000000,0.000000,0.000000,,,
1M,0.016400,0.010000,0.000200,0.000200,0.000000,,,
2M,0.033000,0.011000,0.000400,0.000000,0.000200,,,
4M,0.066400,0.015200,0.000600,0.000000,0.000400,,,
8M,0.134200,0.021800,0.001000,0.000800,0.001000,,,
16M,0.271400,0.029200,0.001400,0.002000,0.001600,,,
32M,0.542000,0.047200,0.002600,0.003000,0.003000,,,
64M,1.089000,0.068400,0.018600,0.018600,0.018800,,,
128M,2.172600,0.130800,0.036400,0.017400,0.011400,,,
,,,,,,,,
,,,,,,,,
totalAverage(ms),CPU_char,CPU_char_thread,GPU_bits,GPU_char_global,GPU_char_shared,,,
1K,0.000400,0.007400,0.000200,0.000400,0.000200,,,
1M,0.017400,0.011200,0.000800,0.001200,0.001200,,,
2M,0.035200,0.013400,0.002200,0.001800,0.002200,,,
4M,0.071200,0.019800,0.003400,0.002400,0.003000,,,
8M,0.143800,0.031800,0.005800,0.006400,0.006800,,,
16M,0.290000,0.048600,0.010600,0.012800,0.013200,,,
32M,0.580200,0.085600,0.022800,0.032200,0.034600,,,
64M,1.166000,0.146200,0.084400,0.118200,0.115800,,,
128M,2.329000,0.285800,0.193200,0.178800,0.098400,,,
