CPU_char(distanceTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0,0,0,0,0,0,0
1M,0.016,0.017,0.017,0.016,0.016,0.0164,0,0.00049
2M,0.033,0.033,0.033,0.033,0.033,0.033,0,0
4M,0.066,0.066,0.067,0.066,0.067,0.0664,0,0.00049
8M,0.133,0.135,0.137,0.133,0.133,0.1342,0.000003,0.0016
16M,0.274,0.272,0.272,0.267,0.272,0.2714,0.000005,0.002332
32M,0.546,0.547,0.547,0.533,0.537,0.542,0.000034,0.005865
64M,1.082,1.096,1.093,1.089,1.085,1.089,0.000026,0.005099
128M,2.173,2.181,2.163,2.168,2.178,2.1726,0.000043,0.00653
,,,,,,,,
,,,,,,,,
CPU_char_thread(distanceTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0.008,0.008,0.007,0.007,0.007,0.0074,0,0.00049
1M,0.011,0.01,0.01,0.01,0.009,0.01,0,0.000632
2M,0.013,0.01,0.011,0.01,0.011,0.011,0.000001,0.001095
4M,0.016,0.015,0.016,0.015,0.014,0.0152,0.000001,0.000748
8M,0.021,0.023,0.023,0.021,0.021,0.0218,0.000001,0.00098
16M,0.031,0.028,0.026,0.03,0.031,0.0292,0.000004,0.001939
32M,0.054,0.049,0.044,0.042,0.047,0.0472,0.000017,0.004167
64M,0.066,0.065,0.075,0.069,0.067,0.0684,0.000013,0.003555
128M,0.138,0.125,0.147,0.123,0.121,0.1308,0.000101,0.010048
,,,,,,,,
,,,,,,,,
CPU_char(totalTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0.001,0,0,0.001,0.0004,0,0.00049
1M,0.017,0.018,0.018,0.017,0.017,0.0174,0,0.00049
2M,0.035,0.035,0.035,0.036,0.035,0.0352,0,0.0004
4M,0.071,0.071,0.072,0.07,0.072,0.0712,0.000001,0.000748
8M,0.142,0.145,0.146,0.143,0.143,0.1438,0.000002,0.00147
16M,0.293,0.29,0.291,0.285,0.291,0.29,0.000007,0.002683
32M,0.586,0.585,0.585,0.57,0.575,0.5802,0.000042,0.006493
64M,1.158,1.174,1.17,1.165,1.163,1.166,0.000031,0.00555
128M,2.339,2.334,2.318,2.323,2.331,2.329,0.000057,0.007563
,,,,,,,,
,,,,,,,,
CPU_char_thread(totalTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0.008,0.008,0.007,0.007,0.007,0.0074,0,0.00049
1M,0.012,0.011,0.012,0.011,0.01,0.0112,0.000001,0.000748
2M,0.015,0.012,0.014,0.012,0.014,0.0134,0.000001,0.0012
4M,0.021,0.02,0.02,0.019,0.019,0.0198,0.000001,0.000748
8M,0.031,0.034,0.033,0.031,0.03,0.0318,0.000002,0.00147
16M,0.051,0.047,0.045,0.049,0.051,0.0486,0.000005,0.002332
32M,0.092,0.088,0.083,0.08,0.085,0.0856,0.000017,0.004128
64M,0.144,0.143,0.153,0.146,0.145,0.1462,0.000013,0.003544
128M,0.294,0.282,0.299,0.278,0.276,0.2858,0.000083,0.009086
,,,,,,,,
,,,,,,,,
GPU_bits(h2dTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0,0.001,0,0,0.0002,0,0.0004
1M,0,0,0.001,0.001,0,0.0004,0,0.00049
2M,0,0.001,0.001,0,0.001,0.0006,0,0.00049
4M,0,0.001,0,0.001,0.001,0.0006,0,0.00049
8M,0.002,0.001,0.001,0.002,0.001,0.0014,0,0.00049
16M,0.002,0.003,0.003,0.002,0.003,0.0026,0,0.00049
32M,0.004,0.005,0.006,0.005,0.005,0.005,0,0.000632
64M,0.008,0.029,0.029,0.031,0.029,0.0252,0.000075,0.008635
128M,0.017,0.057,0.058,0.059,0.058,0.0498,0.000269,0.016412
,,,,,,,,
,,,,,,,,
GPU_char_global(h2dTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0,0,0,0,0,0,0
1M,0,0,0.001,0,0,0.0002,0,0.0004
2M,0.001,0,0,0,0,0.0002,0,0.0004
4M,0,0.001,0,0,0.001,0.0004,0,0.00049
8M,0.002,0.001,0.002,0.001,0.001,0.0014,0,0.00049
16M,0.002,0.002,0.003,0.003,0.002,0.0024,0,0.00049
32M,0.004,0.005,0.005,0.006,0.005,0.005,0,0.000632
64M,0.009,0.029,0.029,0.029,0.028,0.0248,0.000063,0.007909
128M,0.057,0.059,0.058,0.017,0.017,0.0416,0.000404,0.020096
,,,,,,,,
,,,,,,,,
GPU_char_shared(h2dTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0.001,0,0,0,0.0002,0,0.0004
1M,0,0,0,0.001,0.001,0.0004,0,0.00049
2M,0.001,0,0,0.001,0.001,0.0006,0,0.00049
4M,0,0.001,0.001,0.001,0.001,0.0008,0,0.0004
8M,0.001,0.002,0.001,0.002,0.002,0.0016,0,0.00049
16M,0.002,0.002,0.003,0.002,0.002,0.0022,0,0.0004
32M,0.005,0.005,0.005,0.005,0.005,0.005,0,0
64M,0.009,0.03,0.03,0.029,0.028,0.0252,0.000066,0.008134
128M,0.021,0.019,0.016,0.017,0.017,0.018,0.000003,0.001789
,,,,,,,,
,,,,,,,,
GPU_bits(popcounTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0,0,0,0,0,0,0
1M,0,0,0,0,0,0,0,0
2M,0,0,0,0.001,0,0.0002,0,0.0004
4M,0.001,0.001,0.001,0,0,0.0006,0,0.00049
8M,0,0.001,0.001,0,0,0.0004,0,0.00049
16M,0.001,0.002,0.001,0.001,0,0.001,0,0.000632
32M,0.001,0.005,0.004,0.004,0.004,0.0036,0.000002,0.001356
64M,0.003,0.024,0.021,0.021,0.019,0.0176,0.000056,0.007473
128M,0.006,0.073,0.074,0.072,0.076,0.0602,0.000736,0.027132
,,,,,,,,
,,,,,,,,
GPU_char_global(popcounTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0,0,0,0,0,0,0
1M,0.001,0.001,0,0,0,0.0004,0,0.00049
2M,0,0.001,0.001,0.001,0.001,0.0008,0,0.0004
4M,0.001,0.001,0.001,0.001,0,0.0008,0,0.0004
8M,0.001,0.003,0.001,0.001,0.002,0.0016,0.000001,0.0008
16M,0.002,0.006,0.002,0.002,0.002,0.0028,0.000003,0.0016
32M,0.005,0.016,0.016,0.013,0.013,0.0126,0.000016,0.00403
64M,0.01,0.064,0.063,0.064,0.058,0.0518,0.000442,0.021018
128M,0.039,0.16,0.138,0.017,0.017,0.0742,0.003843,0.061992
,,,,,,,,
,,,,,,,,
GPU_char_shared(popcounTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0,0,0,0,0,0,0
1M,0.001,0.001,0.001,0,0,0.0006,0,0.00049
2M,0.001,0.001,0.001,0,0,0.0006,0,0.00049
4M,0.001,0.001,0.001,0,0.001,0.0008,0,0.0004
8M,0.001,0.002,0.002,0.001,0.001,0.0014,0,0.00049
16M,0.003,0.007,0.002,0.003,0.003,0.0036,0.000003,0.001744
32M,0.005,0.02,0.018,0.016,0.016,0.015,0.000027,0.005215
64M,0.01,0.065,0.05,0.061,0.058,0.0488,0.000401,0.020014
128M,0.035,0.02,0.021,0.02,0.021,0.0234,0.000034,0.005817
,,,,,,,,
,,,,,,,,
GPU_bits(d2hTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0,0,0,0,0,0,0
1M,0.001,0,0,0,0,0.0002,0,0.0004
2M,0.001,0,0.001,0,0,0.0004,0,0.00049
4M,0,0.001,0,0.001,0.001,0.0006,0,0.00049
8M,0.001,0.001,0.001,0.001,0.001,0.001,0,0
16M,0.001,0.002,0.001,0.002,0.001,0.0014,0,0.00049
32M,0.002,0.003,0.003,0.003,0.002,0.0026,0,0.00049
64M,0.005,0.021,0.022,0.022,0.023,0.0186,0.000047,0.006829
