CPU_char(distanceTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1M|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
2M|0.000000|0.001000|0.000000|0.000000|0.001000|0.000400|0.000000|0.000490
4M|0.001000|0.001000|0.000000|0.001000|0.001000|0.000800|0.000000|0.000400
8M|0.001000|0.002000|0.001000|0.001000|0.001000|0.001200|0.000000|0.000400
16M|0.003000|0.003000|0.002000|0.002000|0.003000|0.002600|0.000000|0.000490
32M|0.005000|0.020000|0.016000|0.016000|0.018000|0.015000|0.000027|0.005215
64M|0.010000|0.066000|0.049000|0.048000|0.059000|0.046400|0.000375|0.019376
128M|0.024000|0.150000|0.021000|0.020000|0.118000|0.066600|0.003133|0.055970


GPU_bits(d2hTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.000000|0.000000|0.000000|0.001000|0.000200|0.000000|0.000400
1M|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
2M|0.000000|0.000000|0.001000|0.000000|0.000000|0.000200|0.000000|0.000400
4M|0.001000|0.000000|0.000000|0.001000|0.000000|0.000400|0.000000|0.000490
8M|0.001000|0.001000|0.001000|0.001000|0.000000|0.000800|0.000000|0.000400
16M|0.001000|0.002000|0.001000|0.002000|0.002000|0.001600|0.000000|0.000490
32M|0.002000|0.002000|0.002000|0.003000|0.002000|0.002200|0.000000|0.000400
64M|0.005000|0.021000|0.021000|0.022000|0.021000|0.018000|0.000042|0.006512
128M|0.010000|0.042000|0.043000|0.043000|0.042000|0.036000|0.000169|0.013008


GPU_char_global(d2hTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
1M|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
2M|0.001000|0.001000|0.000000|0.000000|0.000000|0.000400|0.000000|0.000490
4M|0.001000|0.000000|0.001000|0.001000|0.000000|0.000600|0.000000|0.000490
8M|0.001000|0.000000|0.000000|0.001000|0.001000|0.000600|0.000000|0.000490
16M|0.001000|0.001000|0.001000|0.002000|0.001000|0.001200|0.000000|0.000400
32M|0.004000|0.003000|0.003000|0.002000|0.003000|0.003000|0.000000|0.000632
64M|0.006000|0.021000|0.022000|0.023000|0.021000|0.018600|0.000040|0.006344
128M|0.044000|0.043000|0.011000|0.044000|0.044000|0.037200|0.000172|0.013106


GPU_char_shared(d2hTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.000000|0.001000|0.000000|0.000000|0.000200|0.000000|0.000400
1M|0.000000|0.001000|0.000000|0.000000|0.001000|0.000400|0.000000|0.000490
2M|0.001000|0.000000|0.001000|0.000000|0.000000|0.000400|0.000000|0.000490
4M|0.001000|0.000000|0.001000|0.001000|0.000000|0.000600|0.000000|0.000490
8M|0.002000|0.001000|0.001000|0.001000|0.001000|0.001200|0.000000|0.000400
16M|0.001000|0.002000|0.002000|0.002000|0.001000|0.001600|0.000000|0.000490
32M|0.003000|0.003000|0.003000|0.003000|0.003000|0.003000|0.000000|0.000000
64M|0.006000|0.022000|0.022000|0.021000|0.021000|0.018400|0.000039|0.006216
128M|0.011000|0.044000|0.011000|0.011000|0.043000|0.024000|0.000254|0.015925


allAverage(ms)|CPU_char|CPU_char_thread|GPU_bits|GPU_char_global|GPU_char_shared
1K|0.000000|0.007200|0.000200|0.000000|0.000200
1M|0.016400|0.009800|0.000000|0.000000|0.000400
2M|0.032800|0.010400|0.000200|0.000400|0.000400
4M|0.065800|0.014200|0.000400|0.000600|0.000600
8M|0.133800|0.018600|0.000800|0.000600|0.001200
16M|0.268600|0.027400|0.001600|0.001200|0.001600
32M|0.536400|0.040400|0.002200|0.003000|0.003000
64M|1.076600|0.070000|0.018000|0.018600|0.018400
128M|2.154800|0.122200|0.036000|0.037200|0.024000
