CPU_char(distanceTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
128M,0.01,0.042,0.043,0.043,0.042,0.036,0.000169,0.013008
,,,,,,,,
,,,,,,,,
GPU_char_global(d2hTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0,0,0,0,0,0,0
1M,0,0,0,0,0,0,0,0
2M,0.001,0.001,0,0,0,0.0004,0,0.00049
4M,0.001,0,0.001,0.001,0,0.0006,0,0.00049
8M,0.001,0,0,0.001,0.001,0.0006,0,0.00049
16M,0.001,0.001,0.001,0.002,0.001,0.0012,0,0.0004
32M,0.004,0.003,0.003,0.002,0.003,0.003,0,0.000632
64M,0.006,0.021,0.022,0.023,0.021,0.0186,0.00004,0.006344
128M,0.044,0.043,0.011,0.044,0.044,0.0372,0.000172,0.013106
,,,,,,,,
,,,,,,,,
GPU_char_shared(d2hTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0,0.001,0,0,0.0002,0,0.0004
1M,0,0.001,0,0,0.001,0.0004,0,0.00049
2M,0.001,0,0.001,0,0,0.0004,0,0.00049
4M,0.001,0,0.001,0.001,0,0.0006,0,0.00049
8M,0.002,0.001,0.001,0.001,0.001,0.0012,0,0.0004
16M,0.001,0.002,0.002,0.002,0.001,0.0016,0,0.00049
32M,0.003,0.003,0.003,0.003,0.003,0.003,0,0
64M,0.006,0.022,0.022,0.021,0.021,0.0184,0.000039,0.006216
128M,0.011,0.044,0.011,0.011,0.043,0.024,0.000254,0.015925
,,,,,,,,
,,,,,,,,
allAverage(ms),CPU_char,CPU_char_thread,GPU_bits,GPU_char_global,GPU_char_shared,,,
1K,0.000000,0.007200,0.000200,0.000000,0.000200,,,
1M,0.016400,0.009800,0.000000,0.000000,0.000400,,,
2M,0.032800,0.010400,0.000200,0.000400,0.000400,,,
4M,0.065800,0.014200,0.000400,0.000600,0.000600,,,
8M,0.133800,0.018600,0.000800,0.000600,0.001200,,,
16M,0.268600,0.027400,0.001600,0.001200,0.001600,,,
32M,0.536400,0.040400,0.002200,0.003000,0.003000,,,
64M,1.076600,0.070000,0.018000,0.018600,0.018400,,,
128M,2.154800,0.122200,0.036000,0.037200,0.024000,,,
